ID,Group,Feature_1,Feature_2,Feature_3
ID000,A,2175.9003851481407,420.15662600940925,4426.9180253973755
ID001,A,2912.149046967754,396.50368420345893,6753.928719885968
ID002,A,2505.5495746700744,379.8419247124408,5617.439100448019
ID003,A,2463.5133774817386,404.7702997478282,5366.688633706075
ID004,A,1950.1667236688754,389.83296982823924,3901.33532186543
ID005,A,2683.379428362412,398.59193303644304,6057.17861990502
ID006,A,2876.5641101582787,392.439485972037,6667.494900614651
ID007,A,2776.5118858517517,403.0032507999947,6314.51940355528
ID008,A,2327.886980936865,401.7477944656257,4974.921970482466
ID009,A,2839.74928192022,423.3341040674846,6402.577325423236
ID010,A,3012.5285936696378,391.9149730970676,7078.010915523575
ID011,A,2535.691849148997,400.4216067530044,5604.967513681969
ID012,A,2306.9819656743107,386.1454671899202,4990.21856107333
ID013,A,2500.307671065462,403.244876331208,5484.698631540345
ID014,A,2482.7574318540023,396.57690268387796,5465.387782142617
ID015,A,2275.0699928502563,385.33067290592015,4898.556614021169
ID016,A,2191.447661720151,376.5150889911941,4691.767540204482
ID017,A,2617.485991697007,390.99531095455137,5897.481420318265
ID018,A,2823.172149766746,391.2651931923806,6513.190483338334
ID019,A,2430.860969949967,394.45017160664787,5320.332051816662
ID020,A,2593.41958608287,386.38230129748683,5848.347251761176
ID021,A,2807.3596086828225,391.60544596806875,6464.0515962081245
ID022,A,2854.1061158227562,408.77497871149274,6518.443453910804
ID023,A,2757.061417576834,386.08009807407484,6340.783762360127
ID024,A,2515.481329152282,400.06232221973255,5546.132376358182
ID025,A,2631.457656857218,391.80845827370405,5935.330679203134
ID026,A,2582.1752106692693,392.52803175588696,5783.885473228373
ID027,A,2156.4212389783816,405.4984692445243,4441.771370712523
ID028,A,2421.444941926756,389.2223598633116,5318.22302646371
ID029,A,2223.4958584844867,403.8800173871258,4651.087488517831
ID030,A,1893.544125327279,406.3187891251994,3649.0384303558403
ID031,A,2973.6125460653057,397.1340350239351,6935.167463076241
ID032,A,2080.2985736566916,401.8918579920076,4231.436431010037
ID033,A,2470.543011495564,402.9183383037903,5397.03734296774
ID034,A,2668.5416930449446,369.1077647902364,6160.086255183652
ID035,A,2087.108771463342,436.5265604747318,4078.6935120163666
ID036,A,2286.060252197721,391.68274310020087,4899.767041092158
ID037,A,2669.439280096662,406.52850229019646,5975.675328839005
ID038,A,2658.128679407795,389.2511247359736,6028.130414543517
ID039,A,2611.0451802744037,393.47894222204417,5865.7408297129905
ID040,A,2040.2242637898066,390.9683660329227,4165.830961204806
ID041,A,2286.9095022386073,421.906934341488,4751.193835008382
ID042,A,1898.8917226042954,384.82216875173617,3772.564324054205
ID043,A,2684.2999252200525,385.4862991162222,6125.468280079047
ID044,A,2554.8259320788225,403.190818702412,5648.5237027244075
ID045,A,2474.1910961696,407.26796845592554,5386.233446229173
ID046,A,2323.444154139588,409.9629130519294,4920.517897159118
ID047,A,2282.8253028750773,402.81867968040336,4834.382510223216
ID048,A,2641.783969652991,429.58870002676497,5777.4084088251475
ID049,A,2481.1555277945404,410.6136078872816,5390.398543947213
ID050,A,2426.841936824396,370.5323244717521,5427.864188114427
ID051,A,2656.5513190064257,421.3291586507918,5863.008163765318
ID052,A,2589.583985566362,408.0145887274445,5728.679013061865
ID053,A,2651.5308172685945,389.24842579823786,6008.350322814595
ID054,A,2095.1035808328393,388.6114389826105,4342.253547585465
ID055,A,2527.108358026737,374.89437196134145,5706.853214273503
ID056,A,2945.4854297079537,381.90945692829393,6926.909004482391
ID057,A,2785.2336217800835,420.7077762288668,6252.161984195916
ID058,A,2153.1963079020256,382.5812757587636,4546.682544912259
ID059,A,2143.6937904904776,400.5743134152417,4428.209804395225
ID060,A,2654.885998821594,407.48561960014683,5927.229898464048
ID061,A,2301.8623907210786,406.97342728389896,4870.720035743741
ID062,A,1939.303166084836,388.4077756755378,3875.8706198768195
ID063,A,2649.3014326165944,416.4440426949311,5865.684084375128
ID064,A,2382.7417559644805,396.94660990632633,5163.49221836181
ID065,A,2894.728328980791,401.90744530605684,6674.647760412089
ID066,A,2524.5875531592155,398.3506585211672,5582.009366871811
ID067,A,2742.7555000024786,415.53673255440816,6150.582837235395
ID068,A,3361.2311417855826,427.80872424653955,7944.649804124051
ID069,A,2300.8280869687974,397.3362559806522,4915.802981003131
ID070,A,2802.9578697834213,428.52351826193075,6266.256018040609
ID071,A,2382.3393529140326,406.74966382260646,5113.269739629066
ID072,A,2439.2230962732,388.4585039428364,5375.376769105418
ID073,A,2308.583738764148,391.3555826226132,4968.9733031793785
ID074,A,2419.1281908260685,413.7029420320368,5188.869862318023
ID075,A,2749.506357512333,374.87852918006956,6374.126426636652
ID076,A,2573.7831397412197,414.489134421214,5648.90374711759
ID077,A,2337.7247705937903,419.3399087033544,4916.474768264599
ID078,A,2117.428112099637,391.45574528235255,4395.005609887148
ID079,A,2252.835417219371,379.1274805633142,4862.868848841542
ID080,A,2926.9055218581325,393.59521288775204,6812.740501135637
ID081,A,2601.1806552991006,412.31741907866467,5741.954870503979
ID082,A,3089.598517178778,382.7195136997325,7355.197983037671
ID083,A,2129.3414346008926,403.1855439352937,4372.09658412621
ID084,A,2121.9443675222674,392.3795431634462,4403.935386749571
ID085,A,3349.1074785794162,390.859344814131,8093.025711667595
ID086,A,2107.635508007159,394.1865430540453,4351.9738087512505
ID087,A,2119.91976133162,404.4726683664043,4337.395942162839
ID088,A,2530.1140919415907,408.0350884515667,5550.166833566939
ID089,A,1922.197492592953,392.8665997635788,3802.2594789609648
ID090,A,2535.7985621866746,431.7866632928064,5448.462370095992
ID091,A,2490.6809330122087,387.04032725986394,5536.841162737306
ID092,A,2615.2150795226426,404.3610412732512,5823.840032201671
ID093,A,2414.3567244383335,419.4008841453864,5146.065752588068
ID094,A,2757.9507352773508,400.52066296110314,6271.2488910265365
ID095,A,2745.1292621959146,397.8370142941845,6246.202715116821
ID096,A,2485.7087302585737,420.7580847308087,5353.335767121678
ID097,A,2426.494852552901,412.69331862284287,5216.017964544489
ID098,A,1629.1453561201242,410.76674532613265,2833.602341729709
ID099,A,2449.504882253225,422.5310811952835,5235.8592407832575
ID100,A,2336.725745807211,380.07906131943395,5109.7819308244625
ID101,A,2548.594469414262,406.94418435863236,5611.062486449626
ID102,A,2784.933274941684,413.7244389543526,6286.177630053288
ID103,A,2122.0974291706134,388.36237529919447,4424.4804110158675
ID104,A,3050.8757442026304,403.3816933334998,7135.718765940392
ID105,A,2324.624251357241,419.1190962721107,4878.27727271117
ID106,A,2516.851766655519,384.19746968291497,5629.567951551982
ID107,A,2401.671551326326,401.5565822849395,5197.231742554281
ID108,A,2802.2871802725776,404.5977830282477,6383.872625676493
ID109,A,2666.6789256347433,383.9783368361002,6080.145092723728
ID110,A,2653.842747991349,366.2349494155526,6130.353496896284
ID111,A,1808.424613500426,401.22753701163566,3419.1361554430996
ID112,A,2360.3606772803637,413.54023419440836,5013.38086086905
ID113,A,2577.654638076506,405.42468268326854,5705.840500813176
ID114,A,2480.12144585733,427.78718142587877,5301.4284304425955
ID115,A,2795.4132106634497,414.626080825415,6313.109227863274
ID116,A,2582.583664065231,376.0644892976851,5867.428545707267
ID117,A,2332.0735592234287,401.8671972461654,4986.884691439459
ID118,A,2509.8680416055563,407.91074902875397,5490.050379672899
ID119,A,2059.1373653537353,403.48758299881666,4159.974181067122
